,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
0,HIV,Fever,Sore throat and painful mouth sores,Night sweats,Muscle aches and joint pain,Diarrhea,Swollen lymph glands on the neck,Headache,Weight loss,Cough,Rash,0,0
1,HIV,Cough,Headache,Diarrhea,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Rash,Muscle aches and joint pain,Fever,Weight loss,Night sweats,0,0
2,HIV,Cough,Fever,Weight loss,Rash,Swollen lymph glands on the neck,Muscle aches and joint pain,Sore throat and painful mouth sores,Diarrhea,Night sweats,Headache,0,0
3,HIV,Rash,Sore throat and painful mouth sores,Muscle aches and joint pain,Headache,Fever,Weight loss,Swollen lymph glands on the neck,Cough,Diarrhea,Night sweats,0,0
4,HIV,Weight loss,Fever,Rash,Swollen lymph glands on the neck,Night sweats,Diarrhea,Cough,Headache,Muscle aches and joint pain,Sore throat and painful mouth sores,0,0
5,HIV,Headache,Diarrhea,Cough,Fever,Sore throat and painful mouth sores,Rash,Weight loss,Swollen lymph glands on the neck,Muscle aches and joint pain,Night sweats,0,0
6,HIV,Rash,Diarrhea,Cough,Headache,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Weight loss,Night sweats,Muscle aches and joint pain,Fever,0,0
7,HIV,Muscle aches and joint pain,Headache,Sore throat and painful mouth sores,Fever,Cough,Swollen lymph glands on the neck,Diarrhea,Night sweats,Weight loss,Rash,0,0
8,HIV,Rash,Muscle aches and joint pain,Sore throat and painful mouth sores,Weight loss,Headache,Diarrhea,Swollen lymph glands on the neck,Night sweats,Cough,Fever,0,0
9,HIV,Weight loss,Fever,Cough,Muscle aches and joint pain,Night sweats,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Headache,Rash,Diarrhea,0,0
10,HIV,Rash,Night sweats,Cough,Sore throat and painful mouth sores,Headache,Diarrhea,Fever,Muscle aches and joint pain,Weight loss,Swollen lymph glands on the neck,0,0
11,HIV,Headache,Diarrhea,Fever,Swollen lymph glands on the neck,Muscle aches and joint pain,Weight loss,Night sweats,Rash,Cough,Sore throat and painful mouth sores,0,0
12,HIV,Night sweats,Headache,Fever,Swollen lymph glands on the neck,Cough,Diarrhea,Muscle aches and joint pain,Rash,Sore throat and painful mouth sores,Weight loss,0,0
13,HIV,Muscle aches and joint pain,Headache,Diarrhea,Sore throat and painful mouth sores,Weight loss,Swollen lymph glands on the neck,Night sweats,Cough,Rash,Fever,0,0
14,HIV,Sore throat and painful mouth sores,Night sweats,Swollen lymph glands on the neck,Fever,Diarrhea,Rash,Cough,Muscle aches and joint pain,Headache,Weight loss,0,0
15,HIV,Rash,Sore throat and painful mouth sores,Muscle aches and joint pain,Swollen lymph glands on the neck,Cough,Diarrhea,Fever,Headache,Night sweats,Weight loss,0,0
16,HIV,Sore throat and painful mouth sores,Night sweats,Cough,Swollen lymph glands on the neck,Rash,Diarrhea,Weight loss,Headache,Muscle aches and joint pain,Fever,0,0
17,HIV,Weight loss,Diarrhea,Cough,Sore throat and painful mouth sores,Headache,Fever,Rash,Night sweats,Swollen lymph glands on the neck,Muscle aches and joint pain,0,0
18,HIV,Swollen lymph glands on the neck,Night sweats,Cough,Weight loss,Sore throat and painful mouth sores,Headache,Muscle aches and joint pain,Rash,Fever,Diarrhea,0,0
19,HIV,Sore throat and painful mouth sores,Weight loss,Night sweats,Rash,Muscle aches and joint pain,Fever,Headache,Cough,Diarrhea,Swollen lymph glands on the neck,0,0
20,HIV,Night sweats,Swollen lymph glands on the neck,Cough,Muscle aches and joint pain,Sore throat and painful mouth sores,Headache,Weight loss,Diarrhea,Fever,Rash,0,0
21,HIV,Muscle aches and joint pain,Night sweats,Cough,Headache,Diarrhea,Swollen lymph glands on the neck,Fever,Sore throat and painful mouth sores,Rash,Weight loss,0,0
22,HIV,Muscle aches and joint pain,Diarrhea,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Cough,Weight loss,Rash,Headache,Night sweats,Fever,0,0
23,HIV,Night sweats,Rash,Fever,Diarrhea,Weight loss,Muscle aches and joint pain,Swollen lymph glands on the neck,Headache,Sore throat and painful mouth sores,Cough,0,0
24,HIV,Night sweats,Fever,Sore throat and painful mouth sores,Headache,Weight loss,Swollen lymph glands on the neck,Diarrhea,Muscle aches and joint pain,Rash,Cough,0,0
25,HIV,Muscle aches and joint pain,Diarrhea,Sore throat and painful mouth sores,Fever,Cough,Rash,Weight loss,Swollen lymph glands on the neck,Headache,Night sweats,0,0
26,HIV,Cough,Fever,Headache,Rash,Muscle aches and joint pain,Weight loss,Diarrhea,Night sweats,Sore throat and painful mouth sores,Swollen lymph glands on the neck,0,0
27,HIV,Sore throat and painful mouth sores,Rash,Diarrhea,Cough,Night sweats,Headache,Muscle aches and joint pain,Fever,Swollen lymph glands on the neck,Weight loss,0,0
28,HIV,Cough,Rash,Muscle aches and joint pain,Weight loss,Swollen lymph glands on the neck,Fever,Headache,Sore throat and painful mouth sores,Night sweats,Diarrhea,0,0
29,HIV,Headache,Rash,Weight loss,Night sweats,Fever,Muscle aches and joint pain,Cough,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Diarrhea,0,0
30,HIV,Night sweats,Rash,Headache,Sore throat and painful mouth sores,Diarrhea,Muscle aches and joint pain,Weight loss,Cough,Swollen lymph glands on the neck,Fever,0,0
31,HIV,Swollen lymph glands on the neck,Weight loss,Rash,Fever,Headache,Night sweats,Sore throat and painful mouth sores,Muscle aches and joint pain,Diarrhea,Cough,0,0
32,HIV,Cough,Headache,Fever,Sore throat and painful mouth sores,Weight loss,Rash,Diarrhea,Swollen lymph glands on the neck,Muscle aches and joint pain,Night sweats,0,0
