Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
HIV,Fever,Sore throat and painful mouth sores,Night sweats,Muscle aches and joint pain,Diarrhea,Swollen lymph glands on the neck,Headache,Weight loss,Cough,Rash,,
HIV,Cough,Headache,Diarrhea,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Rash,Muscle aches and joint pain,Fever,Weight loss,Night sweats,,
HIV,Cough,Fever,Weight loss,Rash,Swollen lymph glands on the neck,Muscle aches and joint pain,Sore throat and painful mouth sores,Diarrhea,Night sweats,Headache,,
HIV,Rash,Sore throat and painful mouth sores,Muscle aches and joint pain,Headache,Fever,Weight loss,Swollen lymph glands on the neck,Cough,Diarrhea,Night sweats,,
HIV,Weight loss,Fever,Rash,Swollen lymph glands on the neck,Night sweats,Diarrhea,Cough,Headache,Muscle aches and joint pain,Sore throat and painful mouth sores,,
HIV,Headache,Diarrhea,Cough,Fever,Sore throat and painful mouth sores,Rash,Weight loss,Swollen lymph glands on the neck,Muscle aches and joint pain,Night sweats,,
HIV,Rash,Diarrhea,Cough,Headache,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Weight loss,Night sweats,Muscle aches and joint pain,Fever,,
HIV,Muscle aches and joint pain,Headache,Sore throat and painful mouth sores,Fever,Cough,Swollen lymph glands on the neck,Diarrhea,Night sweats,Weight loss,Rash,,
HIV,Rash,Muscle aches and joint pain,Sore throat and painful mouth sores,Weight loss,Headache,Diarrhea,Swollen lymph glands on the neck,Night sweats,Cough,Fever,,
HIV,Weight loss,Fever,Cough,Muscle aches and joint pain,Night sweats,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Headache,Rash,Diarrhea,,
HIV,Rash,Night sweats,Cough,Sore throat and painful mouth sores,Headache,Diarrhea,Fever,Muscle aches and joint pain,Weight loss,Swollen lymph glands on the neck,,
HIV,Headache,Diarrhea,Fever,Swollen lymph glands on the neck,Muscle aches and joint pain,Weight loss,Night sweats,Rash,Cough,Sore throat and painful mouth sores,,
HIV,Night sweats,Headache,Fever,Swollen lymph glands on the neck,Cough,Diarrhea,Muscle aches and joint pain,Rash,Sore throat and painful mouth sores,Weight loss,,
HIV,Muscle aches and joint pain,Headache,Diarrhea,Sore throat and painful mouth sores,Weight loss,Swollen lymph glands on the neck,Night sweats,Cough,Rash,Fever,,
HIV,Sore throat and painful mouth sores,Night sweats,Swollen lymph glands on the neck,Fever,Diarrhea,Rash,Cough,Muscle aches and joint pain,Headache,Weight loss,,
HIV,Rash,Sore throat and painful mouth sores,Muscle aches and joint pain,Swollen lymph glands on the neck,Cough,Diarrhea,Fever,Headache,Night sweats,Weight loss,,
HIV,Sore throat and painful mouth sores,Night sweats,Cough,Swollen lymph glands on the neck,Rash,Diarrhea,Weight loss,Headache,Muscle aches and joint pain,Fever,,
HIV,Weight loss,Diarrhea,Cough,Sore throat and painful mouth sores,Headache,Fever,Rash,Night sweats,Swollen lymph glands on the neck,Muscle aches and joint pain,,
HIV,Swollen lymph glands on the neck,Night sweats,Cough,Weight loss,Sore throat and painful mouth sores,Headache,Muscle aches and joint pain,Rash,Fever,Diarrhea,,
HIV,Sore throat and painful mouth sores,Weight loss,Night sweats,Rash,Muscle aches and joint pain,Fever,Headache,Cough,Diarrhea,Swollen lymph glands on the neck,,
HIV,Night sweats,Swollen lymph glands on the neck,Cough,Muscle aches and joint pain,Sore throat and painful mouth sores,Headache,Weight loss,Diarrhea,Fever,Rash,,
HIV,Muscle aches and joint pain,Night sweats,Cough,Headache,Diarrhea,Swollen lymph glands on the neck,Fever,Sore throat and painful mouth sores,Rash,Weight loss,,
HIV,Muscle aches and joint pain,Diarrhea,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Cough,Weight loss,Rash,Headache,Night sweats,Fever,,
HIV,Night sweats,Rash,Fever,Diarrhea,Weight loss,Muscle aches and joint pain,Swollen lymph glands on the neck,Headache,Sore throat and painful mouth sores,Cough,,
